key,parent,sector,subsector,category,campaign,title
CONSUMER,,Consumer Goods,,,,Consumer Goods (sector)
CANNABIS,CONSUMER,Consumer Goods,Cannabis,,cannabis_coverage,US Cannabis / MSO coverage
